scenario,criterion,median_cost,q25_cost,q75_cost,q95_cost,max_cost,mean_cost,total_cost,n_days
baseline,naive,0.0,0.0,1.0,500.0,800.0,55.34444444444444,29886.0,540
baseline,maximin,0.0,0.0,2.0,500.0,800.0,55.38148148148148,29906.0,540
baseline,maximax,0.0,0.0,101.0,500.0,900.0,97.79444444444445,52809.0,540
baseline,savage,0.0,0.0,2.0,500.0,800.0,55.385185185185186,29908.0,540
mild_drought,naive,0.0,0.0,2.0,500.0,800.0,55.394444444444446,29913.0,540
mild_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.42962962962963,29932.0,540
mild_drought,maximax,0.0,0.0,100.0,500.0,800.0,89.49444444444444,48327.0,540
mild_drought,savage,0.0,0.0,2.0,500.0,800.0,55.43333333333333,29934.0,540
severe_drought,naive,0.0,0.0,2.0,500.0,800.0,55.44259259259259,29939.0,540
severe_drought,maximin,0.0,0.0,2.0,500.0,800.0,55.46111111111111,29949.0,540
severe_drought,maximax,0.0,0.0,100.0,500.0,800.0,78.63148148148149,42461.0,540
severe_drought,savage,0.0,0.0,2.0,500.0,800.0,55.27962962962963,29851.0,540
flashy,naive,0.0,0.0,100.0,500.0,800.0,73.24444444444444,39552.0,540
flashy,maximin,0.0,0.0,1.0,500.0,800.0,55.318518518518516,29872.0,540
flashy,maximax,0.0,0.0,101.0,500.0,900.0,103.4962962962963,55888.0,540
flashy,savage,0.0,0.0,1.0,500.0,800.0,55.32222222222222,29874.0,540
no_rain,naive,0.0,0.0,2.0,500.0,800.0,55.49629629629629,29968.0,540
no_rain,maximin,0.0,0.0,2.0,500.0,800.0,55.51111111111111,29976.0,540
no_rain,maximax,0.0,0.0,1.0,500.0,800.0,55.166666666666664,29790.0,540
no_rain,savage,0.0,0.0,2.0,500.0,800.0,55.327777777777776,29877.0,540
