alpha,criterion,quantile_mode,delta_star_median,delta_star_p25,delta_star_p75,cost_baseline,cost_mild_drought,cost_severe_drought,cost_flashy,cost_no_rain,fn_baseline,fn_mild_drought,fn_severe_drought,fn_flashy,fn_no_rain,fn_total,cost_total
0.05,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.05,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.05,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.05,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
0.1,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.1,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.1,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.1,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
0.25,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.25,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.25,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.25,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
0.5,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.5,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.5,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.5,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
0.75,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.75,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.75,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.75,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
0.9,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.9,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.9,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.9,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
0.95,naive,cost,-60.0,-60.0,24.375,32502.0,32527.0,32255.0,40863.0,31010.0,322.0,322.0,319.0,406.0,306.0,1675.0,169157.0
0.95,maximin,cost,-60.0,-60.0,25.3125,32521.0,32535.0,32262.0,32482.0,31015.0,322.0,322.0,319.0,322.0,306.0,1591.0,160815.0
0.95,maximax,cost,-60.0,-60.0,22.5,57317.0,51835.0,45271.0,59590.0,30926.0,571.0,516.0,450.0,594.0,306.0,2437.0,244939.0
0.95,savage,cost,-60.0,-60.0,25.3125,32521.0,32435.0,32162.0,32482.0,31015.0,322.0,321.0,318.0,322.0,306.0,1589.0,160615.0
